@relation set-sample

@attribute question string
@attribute class {rsp1, rsp2, rsp3, rsp4, rsp5, rsp6, rsp7, rsp8, rsp9, rsp10, rsp11, rsp12, rsp13 ,rsp14, rsp15, rsp16, rsp17, rsp18, rsp19, rsp20, rsp21, rsp22, rsp23, rsp24, rsp25, rsp26, rsp27, rsp28 ,rsp29, rsp30, rsp31, rsp32, rsp33, rsp34, rsp35, rsp36, rsp37, rsp38, rsp39, rsp40, rsp41, rsp42, rsp43, rsp44, rsp45, rsp46, rsp47, rsp48, rsp49, rsp50, rsp51, rsp52, rsp53, rsp54, rsp55, rsp56, rsp57, rsp58, rsp59, rsp60, rsp61, rsp62, rsp63, rsp64, rsp65, rsp66, rsp67, rsp68, rsp69, rsp70, rsp71, rsp72, rsp73, rsp74, rsp75, rsp76, rsp77, rsp78, rsp79, rsp80, rsp81, rsp82, rsp83, rsp84, rsp85, rsp86, rsp87, rsp88, rsp89, rsp90, rsp91, rsp92, rsp93, rsp94, rsp95, rsp96, rsp97, rsp98, rsp99, rsp100 ,rsp101, rsp103, rsp104, rsp105, rsp106, rsp107, rsp108, rsp109, rsp110, rsp111, rsp112, rsp113, rsp115, rsp116, rsp117, rsp118}

@data
'Bursum kesildi krediye mi dönecek',rsp7
'Bursum kesildi ne olacak',rsp7
'Bursum kesilirse ne olur',rsp7
'Kyk burs kesilirse ne olur',rsp7
'Kyk bursum kesildiği zaman ne olur',rsp7
'Kyk bursum kesildiği zaman bir şey olur mu',rsp7
'Kyk burs kesildiği zaman bir şey olur mu',rsp7
'Kyk burs kesildi ne yapacağım',rsp7
'Kyk burs kesilince krediye mi çevirilir',rsp7
'Kyk burs kesilince krediye çevrilir mi',rsp7
'Bursum kesildiğinde ne olur',rsp7
'Yaz okulu ne zaman başlıyor',rsp8
'Yaz okulu ne zaman açılacak',rsp8
'Yaz okulu tarihi',rsp8
'Yaz okulu hangi gün başlıyor',rsp8
'Yaz okulu hangi ay başlıyor',rsp8
'Yaz okulu açılış tarihi nedir',rsp8
'Yaz okulu açılış tarihi hakkında bilgi verir misin',rsp8
'Yaz okulu açılış tarihi hakkında bilgi alabilir miyim',rsp8
'Yaz okulu ne zaman başlayacak',rsp8
'Yaz okulu hangi ay açılacak',rsp8
'Yaz okulu hangi tarihte açılacak',rsp8
'Yaz okulu açılış tarihini öğrenebilirmiyim',rsp8
'Trakya üniversitesi yaz okulu açılış tarihi nedir',rsp8
'Üniversitemin yaz okulu ne zaman açılacak',rsp8
'Üniversitenin yaz okulu hangi tarihte açılacak',rsp8
'Üniversitenin yaz okulu açılış tarihi nedir',rsp8
'Bu dönemki yaz okulu ne zaman açılacak',rsp8
'Bana yaz okulu açılış tarihini söyle',rsp8
'Yaz okulu açılış tarihini nereden öğrenebilirim',rsp8
'Yaz okulu açılış tarihi hakkında bilgi almak istiyorum',rsp8
'Yaz okuluna nasıl kayıt yaptırılır',rsp9
'Yaz okulu nasıl kayıt yaptırılır',rsp9
'Yaz okulu nasıl kayıt yaptırılır bilgi alabilir miyim',rsp9
'Yaz okulu nasıl kayıt yaptırıcam',rsp9
'Yaz okulu kaydımı nasıl yaparım',rsp9
'Yaz okulu kaydı online yapılır mı',rsp9
'Yaz okulu kaydı nereden yapılır',rsp9
'Yaz okulu kaydı hangi siteden yapılır',rsp9
'Yaz okulu kaydı siteden yapılır mı',rsp9
'Yaz okulu kaydımı yaptırmak istiyorum ne yapmalıyım',rsp9
'Yaz okulu kaydımı şehir dışından yapabilir miyim',rsp9
'Yaz okulu kaydımı internetten yapabilir miyim',rsp9
'Yaz okulu kaydını internetten yapabilir miyim',rsp9
'Yaz okuluna kayıt nereden yapılır',rsp9
'Yaz okuluna kayıt hangi siteden yapılır',rsp9
'Yaz okuluna kayıt online yapılır mı',rsp9
'Yaz okuluna kayıt yaptırmak istiyorum ne yapacağım',rsp9
'Yaz okuluna kayıt için hangi siteye gireceğim',rsp9
'Yaz okuluna kayıt için ne yapmalıyım',rsp9
'Yaz okuluna kayıt için ne yapmam gerek',rsp9
'Yaz okulunda aldığım dersten kalınca sonraki dönemlerde devam zorunluluğum var mı',rsp10
'Yaz okulunda aldığım dersten kalınca sonraki dönemde devam zorunluluğum var mı',rsp10
'Yaz okuluna bırakılan dersten kaldım sonraki dönemde o ders için devam zorunluluğu var mı',rsp10
'Yaz okulunda verilemeyen bir dersin sonraki dönemde devam zorunluluğu olur mu',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönem devam zorunluluğu olur mu',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönemde devam zorunluluğu olur mu',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönemde aldığımda devam zorunluluğu olur mu',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönem aldığımda devam zorunluluğu olur mu',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönemde aldığımda devamsızlık yapabilir miyim',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönem aldığımda devamsızlık yapabilir miyim',rsp10
'Yaz okulunda veremediğim bir dersin sonraki dönemde aldığımda devamsızlık sayılır mı',rsp10
'Yaz okulunda verilemeyen bir dersin sonraki dönem alındığında devam zorunluluğu olur mu',rsp10
'Yaz okulunda verilemeyen bir dersin sonraki dönemde alındığında devam zorunluluğu olur mu',rsp10
'Yaz okulunda verilemeyen bir dersin sonraki dönem alındığında devamsızlık sayılır mı',rsp10
'Yaz okulunda aldığım dersten kaldı sonraki dönem alındığında devamsızlık sayılır mı',rsp10
'Yaz okulunda aldığım dersten kaldı sonraki dönem alacağım devamsızlık sayılır mı',rsp10
'Yaz okulunda aldığım dersten kaldı bir sonraki dönem alacağım devamsızlık sayılır mı',rsp10
'Yaz okulunda aldığım dersten kaldı bir sonraki dönem alındığında devam zorunluluğu var mı',rsp10
'Yaz okulunda daha önce alınmayan bir ders alınabilir mi',rsp11
'Yaz okulunda önceden almadığım bir dersi almak istiyorum',rsp11
'Yaz okulunda önceden almadığım bir dersi alabilir miyim',rsp11
'Yaz okulunda daha önceden almadığım bir dersi alabilir miyim',rsp11
'Yaz okulunda hiç almadığım almadığım bir dersi alabilir miyim',rsp11
'Yaz okulunda hiç alınmayan bir ders alınabilir mi',rsp11
'Yaz okulu hiç alınmayan bir ders alınabilir mi',rsp11
'Yaz okulu daha önce alınmayan bir ders alınır mı',rsp11
'Yaz okulunda daha önce alınmayan bir ders alınsa sorun olur mu',rsp11
'Yaz okuluna daha önce alınmayan bir dersi ekleyebilir miyim',rsp11
'Daha önce almadığım bir dersi yaz okulu için alabilir miyim',rsp11
'Hiç almadığım almadığım bir dersi yaz okulu için alabilir miyim',rsp11
'Daha önce alınmayan dersler yaz okulunda alınır mı',rsp11
'Ben yaz okulunda önceden almadığım bir dersi alabilir miyim',rsp11
'Yaz okulu daha önce alınmayan bir ders alınabilir mi',rsp11
'Yaz okulunda yeni bir ders alabilir miyim',rsp11
'Yaz okulu yeni bir ders alınır mı',rsp11
'Yaz okulu üstten ders alınabilir mi',rsp11
'Yaz okulu üst sınıftan ders alınabilir mi',rsp11
'Yaz okulu üst sınıftan ders alabilir miyim',rsp11
'Yaz okulunda üst sınıftan bir ders alabilir miyim',rsp11
'Örgün öğretimler harç yatırır mı',rsp12
'Örgün öğretimler 4 yıl sonunda mı harç yatırır',rsp12
'Örgün öğretimler 4 yıl sonunda mı harç parası yatırır',rsp12
'Örgün öğretim 4 yıl sonunda mı harç yatırır',rsp12
'Örgün öğretim 4 yıl sonunda mı harç parası yatırır',rsp12
'Örgün öğretim ilk yıl sonunda mı harç parası yatırır',rsp12
'Örgün öğretim birinci yıl sonunda mı harç parası yatırır',rsp12
'Örgün öğretimler birinci yıl sonunda mı harç parası yatırır',rsp12
'Örgün öğretimler harç yatıracak mıdır',rsp12
'Örgün öğretimler harç parası yatıracak mıdır',rsp12
'Örgün öğretim bir öğrenci harç yatıracak mıdır',rsp12
'Örgün öğretim bir öğrenci harç parası yatıracak mıdır',rsp12
'Örgün öğretim harcı hakkında bilgi verir misin',rsp12
'Örgün öğretim harcı nasıl oluyor',rsp12
'Örgün öğretim harç yatırma işi nasıl oluyor',rsp12
'Örgün öğretim harç parası yatırma işi nasıl oluyor',rsp12
'Örgün öğretim harç parası yatırma işi ne zaman oluyor',rsp12
'Örgün öğretim harç yatırma işi ne zaman oluyor',rsp12
'Örgün öğretim harç yatırma işi hangi zaman oluyor',rsp12
'Örgün öğretim harç parası yatırma işi hangi zaman oluyor',rsp12
'Örgün öğretim harç yatırma işi oluyor mu',rsp12
'Örgün öğretim harç parası yatırma işi var mı',rsp12
'Örgün öğretim harç yatırma işi var mı',rsp12
'Örgün öğretimler için harç yatırma işi var mı',rsp12
'Örgün öğretimler için harç parası yatırır mı',rsp12
'Örgün öğretim için harç parası yatırır mı',rsp12
'Örgün öğretimler için harç yatırır mı',rsp12
'Örgün öğretim için harç para yatırmak',rsp12
'Staj başvurusu için gerekli evraklar nelerdir',rsp13
'Staj başvurusu evrakları',rsp13
'Staj başvurusu evrakları varmı',rsp13
'Staj başvurusu evrakları lazım',rsp13
'Staj başvurusu gerekli olan evraklar nelerdir',rsp13
'Staj başvurusu yapacağım',rsp13
'Staj başvurusu için gerekenler',rsp13
'Staj başvurusu için ne yapmalıyım',rsp13
'Staj başvurusu için ne yapılır',rsp13
'Staj başvuru formu var mı',rsp13
'Staj için başvururken gerekli evraklar nelerdir',rsp13
'Staj başvurusu evrakları hakkında bilgi alabilir miyim',rsp13
'Staj başvuru evrakları',rsp13
'Staj başvurusu yapacağım yönlendirir misin',rsp13
'Staj başvurusu yapacağım link verir misin',rsp13
'Staj başvurusu yapacağım evrak linki verir misin',rsp13
'Staj başvurusu yapacağım ne gerekli',rsp13
'Staj başvurusu yapacağım gerekli olan dosyalar nelerdir',rsp13
'Staj başvurusu yapacağım gerekli olan dosyalar varmıdır',rsp13
'Staj başvurusu için gerekli evraklar neler',rsp13
'Staj son başvuru tarihleri ne zaman',rsp14
'Staj başvurusunu ne zaman yapmalıyım',rsp14
'Staj başvurusunu hangi zaman yapmalıyım',rsp14
'Staj başvurusunu stajdan hemen önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan bir gün önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan iki gün önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan üç gün önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan dört gün önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan beş gün önce yapsam olur mu',rsp14
'Staj başvurusunu stajdan 1 hafta önce yapsam olur mu',rsp14
'Staj son başvurusu ne zaman yapılmalı',rsp14
'Staj son başvurusu hangi zaman yapılmalı',rsp14
'Staj başvurusunu stajdan kaç gün önce yapmalıyım',rsp14
'Staj son başvurusu tarihleri nedir',rsp14
'Staj son başvuru tarihleri nedir',rsp14
'Staj son başvurusu tarihlerini öğrenebilir miyim',rsp14
'Staj son başvuru tarihlerini öğrenebilir miyim',rsp14
'Staj son başvuru tarihini öğrenebilir miyim',rsp14
'Staj son başvuru tarihi',rsp14
'Staj son başvuru tarihleri',rsp14
'Staj dönemleri nelerdir',rsp15
'Staj dönemleri varmıdır',rsp15
'Staj dönemleri fakülte tarafından mı belirlenir',rsp15
'Staj dönemleri kim tarafından belirlenir',rsp15
'Staj dönemlerini nereden öğrenebilirim',rsp15
'Staj dönemleri hakkında bilgi alabilir miyim',rsp15
'Staj dönemleri kaç dönemdir',rsp15
'Staj dönemleri hakkında',rsp15
'Staj dönemlerini kim belirler',rsp15
'Staj dönemleri üniversite tarafından mı belirlenir',rsp15
'Staj dönemlerini fakültemi belirler',rsp15
'Staj dönemlerini okul mu belirler',rsp15
'Staj dönemlerini üniversite mi belirler',rsp15
'Staj defteri teslim tarihi ne zaman', rsp16
'Staj defterimin teslim tarihi ne zaman', rsp16
'Staj defterleri teslim tarihi ne zaman', rsp16
'Bölümümün staj defteri teslim tarihi ne zaman', rsp16
'Üniversitenin staj defteri teslim tarihi ne zaman', rsp16
'Okulun staj defteri teslim tarihi ne zaman', rsp16
'Okulumun staj defteri teslim tarihi ne zaman', rsp16
'Staj defteri teslimi ne zaman', rsp16
'Staj defterimin teslimi ne zaman', rsp16
'Staj defterlerinin teslimi ne zaman', rsp16
'Okulun staj defteri ne zaman', rsp16
'Bölümümün staj defteri teslimi ne zaman', rsp16
'Üniversitenin staj defteri teslimi ne zaman', rsp16
'Okulumun staj defteri teslimi ne zaman', rsp16
'Staj defteri ne zaman teslim edilecek', rsp16
'Staj defterimi ne zaman teslim etmeliyim', rsp16
'Staj defterleri ne zaman teslim edilecek', rsp16
'Staj defterlerini ne zaman teslim edeceğiz', rsp16
'Staj defterlerimizi ne zaman teslim edeceğiz', rsp16
'Staj defterimi ne zaman teslim edeceğim', rsp16
'Staj defterimi ne zaman teslim edicem', rsp16
'Staj defterlerini ne zaman teslim edecez', rsp16
'Staj defterini ne zaman teslim ediyoruz', rsp16
'Staj defterlerimizi ne zaman teslim edecez', rsp16
'Staj defterleri hangi tarihlerde teslim ediliyor', rsp16
'Staj defterini hangi tarihte teslim edeceğiz', rsp16
'Staj defterimi hangi tarihte teslim edeceğim', rsp16
'Staj defterimi hangi tarihte teslim edicem', rsp16
'Staj defterlerini hangi tarihlerde teslim edeceğiz', rsp16
'Staj defterlerimizi hangi tarihlerde teslim edeceğiz', rsp16
'Okulun staj defteri teslimi hangi tarihlerde', rsp16
'Bölümümün staj defteri teslimi hangi tarihlerde', rsp16
'Üniversitenin staj defteri teslimi hangi tarihlerde', rsp16
'Staj defterimi hangi zaman teslim etmeliyim', rsp16
'Staj defterimi hangi zaman teslim edicem', rsp16
'Staj defterini hangi zaman teslim edeceğiz', rsp16
'Staj defterlerini hangi zaman teslim edeceğiz', rsp16
'Staj defterlerini hangi zaman teslim etmeliyiz', rsp16
'Staj defterlerini hangi zaman teslim etmeliyim', rsp16
'Staj defterlerimizi hangi zamanlarda teslim etmeliyiz', rsp16
'Staj defterlerimizi hangi zaman teslim edeceğiz', rsp16
'Staj defterlerimizi hangi zaman teslim edicez', rsp16
'Staj defterini hangi günlerde teslim edeceğiz', rsp16
'Staj defterimi hangi günlerde teslim edeceğim', rsp16
'Staj defterleri hangi günlerde teslim ediliyor', rsp16
'Staj defteri teslim tarihi', rsp16
'Staj defterimin teslim tarihi', rsp16
'Staj defterlerinin teslim tarihi', rsp16
'Staj defterlerimizin teslim tarihi', rsp16
'Okulumun staj defteri teslim tarihi', rsp16
'Bölümümün staj defteri teslim tarihi', rsp16
'Üniversitenin staj defterleri teslim tarihi', rsp16
'Okulumun staj defterleri teslim tarihi', rsp16
'Bölümümün staj defterleri teslim tarihi', rsp16
'Üniversitenin staj defterleri teslim tarihi', rsp16
'Staj sigortasını okul karşılıyor mu', rsp17
'Staj sigortamı okul karşılıyor mu', rsp17
'Staj sigortamızı okul karşılıyor mu', rsp17
'Staj sigortalarımızı okul karşılıyor mu', rsp17
'Okul staj sigortamı karşılıyor mu', rsp17
'Okul staj sigortamızı karşılıyor mu', rsp17
'Okul staj sigortalarını karşılıyor mu', rsp17
'Okul staj sigortasını karşılıyor mu', rsp17
'Üniversite staj sigortamı karşılıyor mu', rsp17
'Üniversite staj sigortamızı karşılıyor mu', rsp17
'Üniversite staj sigortalarını karşılıyor mu', rsp17
'Üniversite staj sigortasını karşılıyor mu', rsp17
'Bölümümüm staj sigortamı karşılıyor mu', rsp17
'Bölümümüz staj sigortamızı karşılıyor mu', rsp17
'Bölümümüm staj sigortalarını karşılıyor mu', rsp17
'Bölümümüm staj sigortasını karşılıyor mu', rsp17
'Staj sigortasını okul karşılayacak mı', rsp17
'Staj sigortamızı okul karşılayacak mı', rsp17
'Staj sigortalarımızı okul karşılayacak mı', rsp17
'Staj sigortalarını okul karşılacak mı', rsp17
'Okul staj sigortamı karşılayacak mı', rsp17
'Okul staj sigortamızı karşılayacak mı', rsp17
'Okul staj sigortalarını karşılayacak mı', rsp17
'Okul staj sigortasını karşılayacak mı', rsp17
'Üniversite staj sigortamı karşılayacak mı', rsp17
'Üniversite staj sigortamızı karşılayacak mı', rsp17
'Üniversite staj sigortalarını karşılayacak mı', rsp17
'Üniversite staj sigortasını karşılayacak mı', rsp17
'Bölümümüm staj sigortamı karşılayacak mı', rsp17
'Bölümümüz staj sigortamızı karşılayacak mı', rsp17
'Bölümümüm staj sigortalarını karşılayacak mı', rsp17
'Bölümümüm staj sigortasını karşılayacak mı', rsp17
'Staj sigortasını okul karşılar mı', rsp17
'Staj sigortamızı okul karşılar mı', rsp17
'Staj sigortalarımızı okul karşılar mı', rsp17
'Staj sigortalarını okul karşılar mı', rsp17
'Okul staj sigortamı karşılar mı', rsp17
'Okul staj sigortamızı karşılar mı', rsp17
'Okul staj sigortalarını karşılar mı', rsp17
'Okul staj sigortasını karşılar mı', rsp17
